index,City,Date,Card Type,Exp Type,Gender,Amount,Month
84,"Bengaluru, India",2014-03-27,Gold,Bills,F,418675,March
85,"Ahmedabad, India",2015-02-17,Silver,Bills,F,804949,February
86,"Bengaluru, India",2015-02-10,Gold,Bills,F,686601,February
87,"Greater Mumbai, India",2014-02-26,Silver,Bills,F,561220,February
88,"Greater Mumbai, India",2015-05-07,Gold,Bills,F,762534,May
89,"Bengaluru, India",2014-01-05,Gold,Bills,F,327947,January
90,"Bengaluru, India",2014-04-07,Gold,Bills,F,492986,April
91,"Delhi, India",2015-02-20,Signature,Bills,F,369237,February
92,"Bengaluru, India",2015-01-19,Platinum,Bills,F,983839,January
93,"Ahmedabad, India",2014-11-14,Gold,Bills,F,776716,November
94,"Greater Mumbai, India",2014-07-21,Gold,Bills,F,664632,July
95,"Bengaluru, India",2015-02-03,Gold,Bills,F,466727,February
96,"Bengaluru, India",2013-11-01,Gold,Bills,F,896384,November
97,"Delhi, India",2013-12-07,Signature,Bills,F,712001,December
98,"Greater Mumbai, India",2014-08-05,Silver,Bills,F,246865,August
99,"Greater Mumbai, India",2015-01-08,Signature,Bills,F,858729,January
100,"Delhi, India",2015-04-11,Platinum,Bills,F,581882,April
101,"Greater Mumbai, India",2015-02-15,Signature,Bills,F,646426,February
102,"Bengaluru, India",2015-03-24,Silver,Bills,F,687088,March
103,"Bengaluru, India",2013-10-13,Signature,Bills,F,973026,October
104,"Greater Mumbai, India",2015-04-24,Silver,Bills,F,944398,April
105,"Ahmedabad, India",2014-11-09,Platinum,Bills,F,414422,November
106,"Bengaluru, India",2015-02-04,Signature,Bills,F,408503,February
107,"Bengaluru, India",2014-03-06,Signature,Bills,F,984466,March
108,"Greater Mumbai, India",2014-03-27,Gold,Bills,F,919997,March
109,"Greater Mumbai, India",2013-11-13,Signature,Bills,F,535101,November
110,"Greater Mumbai, India",2013-10-22,Signature,Bills,F,978301,October
111,"Greater Mumbai, India",2014-09-27,Gold,Bills,F,880406,September
112,"Ahmedabad, India",2014-11-14,Silver,Bills,F,447241,November
113,"Bengaluru, India",2013-10-21,Platinum,Bills,F,382191,October
114,"Bengaluru, India",2015-05-15,Silver,Bills,F,775859,May
115,"Bengaluru, India",2014-03-21,Platinum,Bills,F,832637,March
116,"Bengaluru, India",2015-04-03,Platinum,Bills,F,458526,April
117,"Ahmedabad, India",2015-04-06,Signature,Bills,F,440995,April
118,"Ahmedabad, India",2013-11-05,Platinum,Bills,F,490128,November
119,"Delhi, India",2013-10-07,Platinum,Bills,F,897079,October
120,"Delhi, India",2014-10-31,Gold,Bills,F,431948,October
121,"Bengaluru, India",2014-04-03,Silver,Bills,F,228072,April
122,"Delhi, India",2013-11-21,Gold,Bills,F,757649,November
123,"Delhi, India",2014-05-11,Signature,Bills,F,919877,May
124,"Greater Mumbai, India",2014-05-23,Gold,Bills,F,605615,May
125,"Bengaluru, India",2015-05-22,Platinum,Bills,F,500852,May
126,"Greater Mumbai, India",2015-02-15,Signature,Bills,F,488136,February
127,"Delhi, India",2014-06-16,Gold,Bills,F,937828,June
128,"Delhi, India",2014-01-27,Gold,Bills,F,315873,January
129,"Greater Mumbai, India",2015-05-20,Silver,Bills,F,567623,May
130,"Greater Mumbai, India",2013-10-29,Platinum,Bills,F,555123,October
131,"Bengaluru, India",2014-04-20,Gold,Bills,F,498843,April
132,"Greater Mumbai, India",2014-05-23,Silver,Bills,F,752610,May
133,"Greater Mumbai, India",2015-03-11,Platinum,Bills,F,494540,March
134,"Delhi, India",2013-10-27,Gold,Bills,F,996754,October
135,"Ahmedabad, India",2014-07-14,Signature,Bills,F,245572,July
136,"Delhi, India",2014-04-18,Gold,Bills,F,974384,April
137,"Ahmedabad, India",2014-03-25,Silver,Bills,F,846635,March
138,"Ahmedabad, India",2014-09-01,Silver,Bills,F,635473,September
139,"Delhi, India",2015-03-23,Gold,Bills,F,224510,March
140,"Delhi, India",2015-01-24,Silver,Bills,F,478671,January
141,"Greater Mumbai, India",2013-10-04,Gold,Bills,F,990700,October
142,"Delhi, India",2014-03-14,Gold,Bills,F,228565,March
143,"Bengaluru, India",2014-01-03,Silver,Bills,F,297732,January
144,"Greater Mumbai, India",2014-12-03,Signature,Bills,F,559262,December
145,"Bengaluru, India",2014-07-01,Signature,Bills,F,809907,July
146,"Ahmedabad, India",2014-08-21,Signature,Bills,F,428316,August
147,"Ahmedabad, India",2014-03-05,Signature,Bills,F,275065,March
148,"Bengaluru, India",2014-04-20,Silver,Bills,F,845653,April
149,"Ahmedabad, India",2013-11-20,Signature,Bills,F,236296,November
150,"Bengaluru, India",2014-09-25,Signature,Bills,F,440572,September
151,"Ahmedabad, India",2015-02-06,Gold,Bills,F,478115,February
152,"Bengaluru, India",2013-10-26,Gold,Bills,F,897621,October
153,"Greater Mumbai, India",2015-05-06,Signature,Bills,F,554281,May
154,"Delhi, India",2014-09-30,Silver,Bills,F,245452,September
155,"Delhi, India",2014-01-17,Platinum,Bills,F,365045,January
156,"Greater Mumbai, India",2015-01-11,Gold,Bills,F,496047,January
157,"Bengaluru, India",2015-02-11,Silver,Bills,F,466814,February
158,"Bengaluru, India",2014-11-10,Gold,Bills,F,835177,November
159,"Delhi, India",2015-01-12,Silver,Bills,F,219698,January
160,"Bengaluru, India",2014-10-18,Silver,Bills,F,784541,October
161,"Delhi, India",2013-10-25,Signature,Bills,F,576994,October
162,"Bengaluru, India",2015-05-15,Gold,Bills,F,464663,May
163,"Bengaluru, India",2014-05-03,Platinum,Bills,F,380270,May
164,"Ahmedabad, India",2014-10-02,Silver,Bills,F,772082,October
165,"Delhi, India",2015-04-09,Gold,Bills,F,230853,April
166,"Bengaluru, India",2013-10-06,Signature,Bills,F,677654,October
167,"Greater Mumbai, India",2014-02-05,Signature,Bills,F,929247,February
168,"Ahmedabad, India",2015-04-09,Platinum,Bills,F,851374,April
169,"Ahmedabad, India",2014-01-19,Platinum,Bills,F,637600,January
170,"Greater Mumbai, India",2013-11-09,Platinum,Bills,F,681749,November
171,"Delhi, India",2014-03-25,Silver,Bills,F,847958,March
172,"Greater Mumbai, India",2014-02-18,Gold,Bills,F,877569,February
173,"Ahmedabad, India",2013-10-14,Platinum,Bills,F,450413,October
174,"Bengaluru, India",2015-05-01,Signature,Bills,F,219041,May
175,"Bengaluru, India",2014-12-31,Gold,Bills,F,866572,December
176,"Greater Mumbai, India",2014-03-26,Signature,Bills,F,570791,March
177,"Ahmedabad, India",2014-04-28,Silver,Bills,F,705464,April
178,"Greater Mumbai, India",2014-04-06,Signature,Bills,F,806821,April
179,"Greater Mumbai, India",2014-03-27,Platinum,Bills,F,515472,March
180,"Ahmedabad, India",2014-09-23,Silver,Bills,F,352207,September
181,"Ahmedabad, India",2015-03-04,Gold,Bills,F,342761,March
182,"Bengaluru, India",2014-02-27,Signature,Bills,F,249099,February
183,"Ahmedabad, India",2014-08-27,Platinum,Bills,F,995634,August
184,"Bengaluru, India",2014-12-12,Signature,Bills,F,435097,December
185,"Ahmedabad, India",2014-06-16,Platinum,Bills,F,797815,June
186,"Delhi, India",2014-01-02,Gold,Bills,F,326922,January
187,"Bengaluru, India",2014-12-11,Gold,Bills,F,396241,December
188,"Delhi, India",2014-12-14,Gold,Bills,F,486949,December
189,"Greater Mumbai, India",2014-01-17,Gold,Bills,F,333483,January
190,"Ahmedabad, India",2013-10-05,Platinum,Bills,F,612572,October
191,"Bengaluru, India",2015-03-18,Silver,Bills,F,327244,March
192,"Ahmedabad, India",2014-02-04,Silver,Bills,F,955468,February
193,"Greater Mumbai, India",2015-02-25,Gold,Bills,F,927864,February
194,"Delhi, India",2014-03-28,Signature,Bills,F,555220,March
195,"Delhi, India",2014-12-28,Silver,Bills,F,952640,December
196,"Ahmedabad, India",2014-05-31,Silver,Bills,F,695749,May
197,"Greater Mumbai, India",2014-08-22,Platinum,Bills,F,365724,August
198,"Greater Mumbai, India",2015-03-03,Platinum,Bills,F,738108,March
199,"Ahmedabad, India",2015-01-17,Platinum,Bills,F,650785,January
200,"Delhi, India",2014-10-23,Signature,Bills,F,611486,October
201,"Bengaluru, India",2014-08-05,Platinum,Bills,F,965721,August
202,"Ahmedabad, India",2014-10-12,Gold,Bills,F,413052,October
203,"Ahmedabad, India",2014-01-22,Silver,Bills,F,584822,January
204,"Ahmedabad, India",2015-03-25,Gold,Bills,F,980146,March
205,"Ahmedabad, India",2014-10-10,Signature,Bills,F,926072,October
206,"Delhi, India",2014-04-16,Silver,Bills,F,482394,April
207,"Bengaluru, India",2014-02-21,Signature,Bills,F,718346,February
208,"Bengaluru, India",2014-04-24,Silver,Bills,F,491598,April
209,"Delhi, India",2014-09-07,Platinum,Bills,F,848852,September
210,"Bengaluru, India",2014-12-28,Gold,Bills,F,396139,December
211,"Ahmedabad, India",2014-10-13,Signature,Bills,F,856974,October
212,"Ahmedabad, India",2015-04-03,Signature,Bills,F,855990,April
213,"Delhi, India",2015-02-16,Signature,Bills,F,924776,February
214,"Greater Mumbai, India",2014-04-03,Signature,Bills,F,204850,April
215,"Delhi, India",2013-11-03,Platinum,Bills,F,780669,November
216,"Greater Mumbai, India",2014-04-17,Signature,Bills,F,887442,April
217,"Delhi, India",2014-01-22,Signature,Bills,F,297820,January
218,"Delhi, India",2015-03-14,Signature,Bills,F,687879,March
219,"Greater Mumbai, India",2013-10-13,Silver,Bills,F,738456,October
220,"Delhi, India",2014-08-24,Platinum,Bills,F,378535,August
221,"Greater Mumbai, India",2015-05-09,Silver,Bills,F,334116,May
222,"Delhi, India",2014-06-07,Silver,Bills,F,772360,June
223,"Ahmedabad, India",2014-11-26,Gold,Bills,F,580796,November
224,"Greater Mumbai, India",2014-10-21,Silver,Bills,F,855465,October
225,"Greater Mumbai, India",2014-06-15,Gold,Bills,F,978989,June
226,"Ahmedabad, India",2015-04-25,Gold,Bills,F,451874,April
227,"Ahmedabad, India",2014-09-07,Silver,Bills,F,670750,September
228,"Bengaluru, India",2015-05-19,Signature,Bills,F,977951,May
229,"Delhi, India",2014-02-23,Platinum,Bills,F,403466,February
230,"Delhi, India",2013-10-28,Signature,Bills,F,861177,October
231,"Ahmedabad, India",2014-12-17,Gold,Bills,F,528612,December
232,"Ahmedabad, India",2014-12-04,Signature,Bills,F,339670,December
233,"Delhi, India",2013-11-18,Signature,Bills,F,963751,November
234,"Ahmedabad, India",2014-11-30,Gold,Bills,F,761930,November
235,"Ahmedabad, India",2014-08-21,Signature,Bills,F,852806,August
236,"Delhi, India",2014-05-25,Signature,Bills,F,207755,May
237,"Greater Mumbai, India",2015-04-19,Gold,Bills,F,489540,April
238,"Ahmedabad, India",2014-03-25,Silver,Bills,F,274395,March
239,"Bengaluru, India",2014-02-11,Platinum,Bills,F,566945,February
240,"Ahmedabad, India",2014-12-09,Gold,Bills,F,705690,December
241,"Bengaluru, India",2014-03-25,Gold,Bills,F,894888,March
242,"Greater Mumbai, India",2014-01-02,Platinum,Bills,F,811899,January
243,"Greater Mumbai, India",2014-12-25,Silver,Bills,F,677645,December
244,"Greater Mumbai, India",2014-10-16,Platinum,Bills,F,326162,October
245,"Delhi, India",2015-04-19,Platinum,Bills,F,316946,April
246,"Delhi, India",2014-01-20,Platinum,Bills,F,622373,January
247,"Bengaluru, India",2014-05-10,Signature,Bills,F,640653,May
248,"Ahmedabad, India",2015-01-09,Signature,Bills,F,745493,January
249,"Delhi, India",2013-10-31,Gold,Bills,F,868021,October
250,"Delhi, India",2014-11-28,Platinum,Bills,F,284923,November
251,"Bengaluru, India",2014-07-21,Platinum,Bills,F,814422,July
252,"Bengaluru, India",2015-04-22,Gold,Bills,F,599741,April
253,"Ahmedabad, India",2014-06-10,Platinum,Bills,F,804560,June
254,"Ahmedabad, India",2015-04-17,Gold,Bills,F,996291,April
255,"Ahmedabad, India",2013-11-09,Platinum,Bills,F,477553,November
256,"Delhi, India",2015-01-02,Gold,Bills,F,216028,January
257,"Greater Mumbai, India",2015-03-10,Signature,Bills,F,275427,March
258,"Delhi, India",2013-12-22,Silver,Bills,F,722048,December
259,"Delhi, India",2015-02-14,Silver,Bills,F,292365,February
260,"Ahmedabad, India",2015-01-30,Silver,Bills,F,400393,January
261,"Greater Mumbai, India",2014-04-01,Platinum,Bills,F,219720,April
262,"Delhi, India",2015-02-15,Signature,Bills,F,981404,February
263,"Bengaluru, India",2014-11-24,Signature,Bills,F,639670,November
264,"Bengaluru, India",2014-08-07,Gold,Bills,F,814333,August
265,"Ahmedabad, India",2013-10-17,Gold,Bills,F,569582,October
266,"Ahmedabad, India",2014-05-25,Gold,Bills,F,954111,May
267,"Ahmedabad, India",2014-05-16,Gold,Bills,F,635267,May
268,"Delhi, India",2013-10-11,Gold,Bills,F,393651,October
269,"Ahmedabad, India",2014-06-02,Platinum,Bills,F,572306,June
270,"Ahmedabad, India",2014-08-06,Silver,Bills,F,407647,August
271,"Greater Mumbai, India",2015-01-26,Gold,Bills,F,734396,January
272,"Delhi, India",2015-03-02,Platinum,Bills,F,224414,March
273,"Ahmedabad, India",2014-09-10,Signature,Bills,F,203194,September
274,"Greater Mumbai, India",2015-01-22,Gold,Bills,F,250410,January
275,"Delhi, India",2015-04-04,Silver,Bills,F,830697,April
276,"Greater Mumbai, India",2014-05-16,Platinum,Bills,F,790800,May
277,"Greater Mumbai, India",2014-02-22,Silver,Bills,F,638570,February
278,"Greater Mumbai, India",2014-08-13,Silver,Bills,F,380409,August
279,"Greater Mumbai, India",2014-04-01,Gold,Bills,F,601631,April
280,"Ahmedabad, India",2014-01-08,Gold,Bills,F,690534,January
281,"Ahmedabad, India",2015-03-05,Silver,Bills,F,423661,March
282,"Greater Mumbai, India",2014-12-08,Silver,Bills,F,936294,December
283,"Bengaluru, India",2014-11-29,Platinum,Bills,F,537050,November
284,"Delhi, India",2015-03-08,Silver,Bills,F,899343,March
285,"Greater Mumbai, India",2013-11-25,Platinum,Bills,F,834691,November
286,"Ahmedabad, India",2015-04-13,Silver,Bills,F,240216,April
287,"Greater Mumbai, India",2014-04-15,Signature,Bills,F,424370,April
288,"Delhi, India",2015-02-13,Silver,Bills,F,593991,February
289,"Greater Mumbai, India",2014-10-02,Signature,Bills,F,768467,October
290,"Delhi, India",2015-02-07,Gold,Bills,F,781959,February
291,"Bengaluru, India",2014-12-27,Platinum,Bills,F,553907,December
292,"Bengaluru, India",2014-08-04,Platinum,Bills,F,308622,August
293,"Greater Mumbai, India",2015-05-05,Signature,Bills,F,912334,May
294,"Delhi, India",2015-01-28,Silver,Bills,F,586474,January
295,"Delhi, India",2014-04-06,Gold,Bills,F,521237,April
296,"Delhi, India",2013-10-30,Signature,Bills,F,446266,October
297,"Greater Mumbai, India",2014-09-30,Platinum,Bills,F,511168,September
298,"Bengaluru, India",2013-12-28,Signature,Bills,F,608438,December
299,"Delhi, India",2014-10-18,Gold,Bills,F,973519,October
300,"Delhi, India",2014-11-28,Platinum,Bills,F,688577,November
301,"Bengaluru, India",2014-05-12,Silver,Bills,F,686619,May
302,"Greater Mumbai, India",2014-11-06,Signature,Bills,F,255982,November
303,"Greater Mumbai, India",2014-03-02,Signature,Bills,F,464656,March
304,"Delhi, India",2015-04-19,Signature,Bills,F,212319,April
305,"Greater Mumbai, India",2015-04-18,Platinum,Bills,F,307563,April
306,"Delhi, India",2015-04-15,Silver,Bills,F,407564,April
307,"Bengaluru, India",2014-10-12,Signature,Bills,F,331349,October
308,"Delhi, India",2015-04-14,Silver,Bills,F,391325,April
309,"Ahmedabad, India",2014-10-07,Silver,Bills,F,530244,October
310,"Greater Mumbai, India",2014-04-16,Signature,Bills,F,668736,April
311,"Bengaluru, India",2014-12-03,Gold,Bills,F,517448,December
312,"Ahmedabad, India",2014-08-03,Platinum,Bills,F,788531,August
313,"Ahmedabad, India",2014-03-17,Gold,Bills,F,474729,March
314,"Bengaluru, India",2015-01-16,Platinum,Bills,F,590841,January
315,"Greater Mumbai, India",2014-01-05,Platinum,Bills,F,608427,January
316,"Delhi, India",2015-05-02,Silver,Bills,F,719835,May
317,"Delhi, India",2013-12-30,Signature,Bills,F,375139,December
318,"Bengaluru, India",2014-05-19,Platinum,Bills,F,229589,May
319,"Bengaluru, India",2014-07-05,Signature,Bills,F,376453,July
320,"Delhi, India",2013-10-10,Signature,Bills,F,360009,October
321,"Ahmedabad, India",2014-08-03,Signature,Bills,F,770346,August
322,"Greater Mumbai, India",2015-05-23,Signature,Bills,F,489043,May
323,"Bengaluru, India",2014-11-11,Platinum,Bills,F,503037,November
324,"Greater Mumbai, India",2014-01-11,Platinum,Bills,F,731261,January
325,"Ahmedabad, India",2014-02-14,Signature,Bills,F,262755,February
326,"Greater Mumbai, India",2014-07-16,Gold,Bills,F,825475,July
327,"Greater Mumbai, India",2014-02-24,Platinum,Bills,F,922630,February
328,"Delhi, India",2014-09-25,Gold,Bills,F,752172,September
329,"Ahmedabad, India",2014-06-11,Gold,Bills,F,418009,June
330,"Delhi, India",2014-06-07,Signature,Bills,F,994537,June
331,"Greater Mumbai, India",2014-08-02,Silver,Bills,F,922206,August
332,"Greater Mumbai, India",2014-05-21,Signature,Bills,F,389097,May
333,"Bengaluru, India",2015-04-04,Signature,Bills,F,880778,April
334,"Greater Mumbai, India",2015-03-03,Gold,Bills,F,327971,March
335,"Bengaluru, India",2014-03-02,Signature,Bills,F,689201,March
336,"Bengaluru, India",2015-05-17,Silver,Bills,F,792440,May
337,"Bengaluru, India",2015-03-17,Signature,Bills,F,602222,March
338,"Ahmedabad, India",2014-09-03,Platinum,Bills,F,502399,September
339,"Ahmedabad, India",2014-03-17,Silver,Bills,F,272804,March
340,"Bengaluru, India",2014-06-06,Platinum,Bills,F,613280,June
341,"Delhi, India",2014-10-17,Signature,Bills,F,876491,October
342,"Bengaluru, India",2014-02-25,Silver,Bills,F,820217,February
343,"Greater Mumbai, India",2014-09-06,Signature,Bills,F,994184,September
344,"Ahmedabad, India",2013-12-07,Platinum,Bills,F,515263,December
345,"Ahmedabad, India",2014-08-28,Signature,Bills,F,338527,August
346,"Ahmedabad, India",2014-06-16,Silver,Bills,F,934683,June
347,"Ahmedabad, India",2014-07-07,Signature,Bills,F,454570,July
348,"Greater Mumbai, India",2015-01-28,Gold,Bills,F,654519,January
349,"Ahmedabad, India",2014-06-12,Gold,Bills,F,958047,June
350,"Bengaluru, India",2013-11-03,Silver,Bills,F,465281,November
351,"Ahmedabad, India",2013-12-31,Signature,Bills,F,653161,December
352,"Ahmedabad, India",2014-04-14,Gold,Bills,F,307350,April
353,"Greater Mumbai, India",2014-08-27,Silver,Bills,F,41002,August
354,"Bengaluru, India",2014-01-03,Silver,Bills,F,34743,January
355,"Bengaluru, India",2014-09-26,Signature,Bills,F,195589,September
356,"Bengaluru, India",2014-03-10,Signature,Bills,F,204735,March
357,"Ahmedabad, India",2014-05-14,Signature,Bills,F,118112,May
358,"Greater Mumbai, India",2013-12-12,Platinum,Bills,F,61572,December
359,"Delhi, India",2015-02-25,Gold,Bills,F,274938,February
360,"Greater Mumbai, India",2014-02-21,Signature,Bills,F,43854,February
361,"Delhi, India",2014-04-27,Gold,Bills,F,8798,April
362,"Greater Mumbai, India",2015-05-08,Gold,Bills,F,192241,May
363,"Bengaluru, India",2014-04-10,Silver,Bills,F,128164,April
364,"Delhi, India",2014-04-28,Signature,Bills,F,249061,April
365,"Greater Mumbai, India",2014-01-29,Gold,Bills,F,275283,January
366,"Greater Mumbai, India",2014-01-03,Platinum,Bills,F,172194,January
367,"Ahmedabad, India",2015-05-13,Gold,Bills,F,13162,May
368,"Bengaluru, India",2015-02-05,Platinum,Bills,F,3427,February
369,"Bengaluru, India",2015-01-07,Gold,Bills,F,171374,January
370,"Delhi, India",2015-02-19,Signature,Bills,F,286251,February
371,"Ahmedabad, India",2014-10-19,Platinum,Bills,F,123417,October
372,"Delhi, India",2013-12-03,Silver,Bills,F,81088,December
373,"Ahmedabad, India",2014-10-26,Signature,Bills,F,64113,October
374,"Bengaluru, India",2014-03-27,Platinum,Bills,F,54374,March
375,"Ahmedabad, India",2015-03-18,Signature,Bills,F,175515,March
376,"Delhi, India",2013-11-25,Gold,Bills,F,78773,November
377,"Bengaluru, India",2014-06-25,Signature,Bills,F,143515,June
378,"Delhi, India",2014-11-22,Silver,Bills,F,263613,November
379,"Greater Mumbai, India",2015-04-22,Platinum,Bills,F,265434,April
380,"Delhi, India",2014-06-03,Signature,Bills,F,87839,June
381,"Delhi, India",2014-06-16,Signature,Bills,F,60905,June
382,"Delhi, India",2015-04-09,Platinum,Bills,F,199726,April
383,"Delhi, India",2015-01-20,Silver,Bills,F,267896,January
384,"Ahmedabad, India",2013-12-31,Gold,Bills,F,198937,December
385,"Greater Mumbai, India",2014-10-02,Gold,Bills,F,90745,October
386,"Greater Mumbai, India",2014-07-24,Silver,Bills,F,86676,July
387,"Greater Mumbai, India",2015-05-08,Platinum,Bills,F,163574,May
388,"Greater Mumbai, India",2015-04-27,Signature,Bills,F,2138,April
389,"Bengaluru, India",2014-06-11,Silver,Bills,F,253749,June
390,"Delhi, India",2014-06-06,Platinum,Bills,F,60187,June
391,"Bengaluru, India",2015-03-03,Platinum,Bills,F,15566,March
392,"Greater Mumbai, India",2014-07-11,Signature,Bills,F,242144,July
393,"Delhi, India",2014-03-17,Platinum,Bills,F,114049,March
394,"Bengaluru, India",2014-03-17,Gold,Bills,F,100992,March
395,"Delhi, India",2014-03-03,Silver,Bills,F,173017,March
396,"Greater Mumbai, India",2014-06-07,Gold,Bills,F,279567,June
397,"Delhi, India",2013-12-28,Signature,Bills,F,25016,December
398,"Delhi, India",2013-11-11,Silver,Bills,F,157982,November
399,"Bengaluru, India",2014-05-17,Signature,Bills,F,240387,May
400,"Delhi, India",2014-08-31,Platinum,Bills,F,134030,August
401,"Bengaluru, India",2015-01-26,Gold,Bills,F,108651,January
402,"Delhi, India",2014-01-17,Gold,Bills,F,138617,January
403,"Bengaluru, India",2014-01-27,Signature,Bills,F,98963,January
